아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
1501,当,當,田,6,2,,,トウ、あ-たる、あ-てる,마땅할 당,1.알맞다 2.들어맞다 3.옳다 4.마주치다 5.맡다
1502,投,,手,7,3,,,トウ、な-げる,던질 투,1.던지다 2.그만두다 3.던져넣다 4.보내다 5.내다
1503,豆,,豆,7,3,,,トウ、（ズ）、まめ,콩 두,콩
1504,東,,木,8,2,,,トウ、ひがし,동녘 동,
1505,到,,刀,8,S,,,トウ,이를 도,1.먼곳에서오다 2.가닿다 3.닿다 4.빈틈없는 5.극한에달하다
1506,逃,,辵,9,S,,,トウ、に-げる、に-がす、のが-す、のが-れる,도망할 도,1.달아나다 2.피하다 3.숨다
1507,倒,,人,10,S,,,トウ、たお-れる、たお-す,넘어질 도,1.넘어지다 2.넘어뜨리다 3.거꾸로 4.마음속으로부터 5.몹시
1508,凍,,冫,10,S,,,トウ、こお-る、こご-える,얼 동,1.얼다 2.(손·발등이)얼다 3.얼어붙다 4.추위로몸의기능이마비되다
1509,唐,,口,10,S,,,トウ、から,당나라/ 당황할 당,1.당 2.허풍 3.느닷없이 4.벽창호 5.(옛날의)중국
1510,島,,山,10,3,,,トウ、しま,섬 도,
1511,桃,,木,10,S,,,トウ、もも,복숭아 도,1.복숭아 2.복숭아나무
1512,討,,言,10,6,,,トウ、う-つ,칠 토,1.공격하다 2.따져묻다 3.살피다 4.치다 5.규명하다
1513,透,,辵,10,S,,,トウ、す-く、す-かす、す-ける,사무칠 투,1.들여다보이다 2.꿰뚫다 3.투명하다
1514,党,黨,黑,10,6,,,トウ,무리 당,1.무리 2.친척 3.정당 4.고향 5.놈
1515,悼,,心,11,S,,,トウ、いた-む,슬퍼할 도,1.슬퍼하다 2.죽은사람을아깝게여겨슬퍼하다 3.불쌍히여기다
1516,盗,盜,皿,11,S,,,トウ、ぬす-む,도둑 도,1.훔치다 2.도둑
1517,陶,,阜,11,S,,,トウ,질그릇 도,1.오지그릇 2.오지그릇을만들듯이사람을가르쳐이끌다 3.즐기다 4.근심하다 5.가르쳐사람을만들다
1518,塔,,土,12,S,,,トウ,탑 탑,
1519,搭,,手,12,S,1981,,トウ,탈 탑,1.걸다 2.타다 3.매달다 4.태우다
1520,棟,,木,12,S,1981,,トウ、むね、（むな）,마룻대 동,
1521,湯,,水,12,3,,,トウ、ゆ,끓일 탕,1.더운물 2.목욕 3.온천 4.탕약(湯藥) 5.목욕물
1522,痘,,疒,12,S,,,トウ,역질 두,마마
1523,登,,癶,12,3,,,トウ、ト、のぼ-る,오를 등,1.오르다 2.출근하다 3.시험에붙다 4.벼슬에오르다 5.기록하다
1524,答,,竹,12,2,,,トウ、こた-える、こた-え,대답할 답,
1525,等,,竹,12,3,,,トウ、ひと-しい,무리 등,1.같다 2.…들 3.동료 4.계급 5.차가없다
1526,筒,,竹,12,S,,,トウ、つつ,통 통,1.통 2.총신 3.소총 4.우물벽 5.관
1527,統,,糸,12,5,,,トウ、す-べる,거느릴 통,
1528,稲,稻,禾,14,S,,,トウ、いね、（いな）,벼 도,벼
1529,踏,,足,15,S,,,トウ、ふ-む、ふ-まえる,밟을 답,1.밟다 2.제자리걸음하다 3.걷다 4.실지로거기가다
1530,糖,,米,16,6,,,トウ,엿 당,
1531,頭,,頁,16,2,,,トウ、ズ、（ト）、あたま、かしら,머리 두,1.머리 2.두뇌 3.염두 4.두발 5.대가리
1532,謄,,言,17,S,,,トウ,베낄 등,1.원본을베껴쓰다 2.베껴쓴것
